company_id,name,industry,country,size,founded_year
1,DataFlow GmbH,HealthTech,Australia,Large (1001-5000),2009
2,TechBridge AG,EdTech,Netherlands,Large (1001-5000),2016
3,NexaCloud,SaaS,France,Medium (201-1000),2014
4,PulseAI,Gaming,Germany,Large (1001-5000),2002
5,StackMind,Consulting,India,Large (1001-5000),2013
6,Orion Systems,Logistics,France,Large (1001-5000),2004
7,BluePath Labs,SaaS,Spain,Large (1001-5000),2012
8,Vertex Technologies,Consulting,India,Startup (1-50),2021
9,Momentum Digital,EdTech,France,Startup (1-50),2011
10,CoreSync,Cybersecurity,India,Enterprise (5000+),2001
11,Helios Software,Logistics,Germany,Small (51-200),2015
12,Quantum Leap GmbH,Cybersecurity,Sweden,Small (51-200),2003
13,GridLogic,Automotive,Germany,Enterprise (5000+),2010
14,Nimbus Tech,EdTech,Germany,Large (1001-5000),2012
15,Axiom Analytics,SaaS,Germany,Medium (201-1000),2011
16,DeepRoot,FinTech,Switzerland,Large (1001-5000),2010
17,Horizon Engineering,SaaS,Germany,Small (51-200),2014
18,Lumen Data,Cybersecurity,France,Large (1001-5000),2016
19,Sparq GmbH,FinTech,Netherlands,Small (51-200),2012
20,Ironclad Solutions,SaaS,Australia,Large (1001-5000),2000
21,Wavefront AI,HealthTech,Switzerland,Large (1001-5000),2017
22,Prism Technologies,E-Commerce,United Kingdom,Small (51-200),2013
23,Atlas Digital,Cybersecurity,Switzerland,Large (1001-5000),2020
24,Beacon Analytics,Cybersecurity,France,Startup (1-50),2000
25,Cipher Labs,EdTech,India,Large (1001-5000),2020
26,Drift Systems,Consulting,India,Large (1001-5000),2006
27,Echo Technologies,Cybersecurity,India,Medium (201-1000),2001
28,Forge Digital,SaaS,Switzerland,Large (1001-5000),2018
29,Gravity Solutions,Automotive,Switzerland,Small (51-200),2021
30,Harbor Tech,Cybersecurity,United Kingdom,Enterprise (5000+),2016
